TranscriptID	XBE1	XBC1	XBE2	XBC2	XSE2	XSC2	XTE2	XTC2
GTX0536PRED_000188-T1	0.918	0.622	0.929	0.977	0.182	0.272	0.739	0.629
GTX0536PRED_000189-T1	0.224	0.432	0.758	0.869	0.209	0.616	0.678	0.739
GTX0536PRED_000189-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000190-T1	0.193	0.745	0.993	0.721	0	0	0.829	0.371
GTX0536PRED_000191-T1	0	0	0	0	0	0	0.851	0
GTX0536PRED_000191-T2	6.85	4.968	8.244	5.322	1.393	1.871	4.623	4.135
GTX0536PRED_000192-T1	1.506	1.181	1.127	1.121	0.278	0.332	1.134	1.714
GTX0536PRED_000193-T1	0.99	0.858	1.601	0.485	0.621	0.972	0.689	1
GTX0536PRED_000194-T1	1.821	1.929	1.399	1.575	1.994	2.223	2.127	1.448
GTX0536PRED_000195-T1	1.926	2.671	1.57	1.764	0.436	0.743	1.348	1.145
GTX0536PRED_000195-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000196-T1	0	0	0	0	0.051	0	0	0.027
GTX0536PRED_000197-T1	7.832	7.196	8.776	8.112	5.428	4.38	6.071	4.817
GTX0536PRED_000198-T1	8.324	8.614	9.368	7.494	4.299	5.171	6.587	7.173
GTX0536PRED_000199-T1	0.385	0.423	0.544	0.246	0.245	0.161	0.595	0.114
GTX0536PRED_000200-T1	5.096	4.836	6.258	6.291	2.118	2.163	7.07	5.231
GTX0536PRED_000201-T1	1.198	1.442	1.71	1.385	0.977	0.603	1.288	0.728
GTX0536PRED_000202-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000203-T1	0.099	0.135	0.154	0.046	0	0	0.044	0.035
GTX0536PRED_000204-T1	0.042	0.015	0.163	0.112	0	0	0.03	0.052
GTX0536PRED_000204-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000205-T1	230.404	283.816	216.172	143.904	80.835	94.628	177.512	133.768
GTX0536PRED_000206-T1	2.058	2.622	1.818	1.612	0	0	2.334	1.725
GTX0536PRED_000207-T1	4.06	3.846	4.573	4.55	0.592	0.949	4.522	2.175
GTX0536PRED_000208-T1	2.854	2.694	3.399	2.046	2.639	3.623	2.463	2.297
GTX0536PRED_000209-T1	0.801	0.375	0.524	0.794	0	0	0.606	0.657
GTX0536PRED_000210-T1	1.015	0.831	0.693	0.584	1.004	1.293	0.469	0.483
GTX0536PRED_000211-T1	3.998	3.111	4.863	4.583	2.682	2.338	5.494	3.072
GTX0536PRED_000212-T1	3.598	5.6	3.947	1.712	0	0	3.51	2.745
GTX0536PRED_000213-T1	0	0	0	0	0	0	0	0.235
GTX0536PRED_000213-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000214-T1	9.485	9.42	9.685	12.93	4.696	4.656	11.587	8.856
GTX0536PRED_000215-T1	0.174	0.06	0.06	0.072	0	0.023	0.023	0.092
GTX0536PRED_000216-T1	0.577	0.521	1.068	0.309	0.327	0.258	0.575	0.238
GTX0536PRED_000217-T1	3.667	4.3	5.353	6.278	1.543	1.704	2.797	1.8
GTX0536PRED_000218-T1	4.789	5.291	5.793	6.593	0	0	9.375	4.454
GTX0536PRED_000219-T1	0	0	0	0	0	0	0.081	0
GTX0536PRED_000220-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000221-T1	0	0	0	0	0	0	1.862	3.602
GTX0536PRED_000222-T1	3.67	3.353	4.609	3.546	1.009	1.474	3.395	2.595
GTX0536PRED_000222-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000223-T1	1.969	2.27	2.636	1.316	1.581	1.736	1.661	1.453
GTX0536PRED_000224-T1	15.118	14.02	15.074	10.838	5.699	6.343	10.796	12.202
GTX0536PRED_000225-T1	0.58	0.336	0.638	0.114	0.906	1.175	0.229	0.831
GTX0536PRED_000226-T1	0.145	0.519	0.14	0	0.018	0.038	0	0.057
GTX0536PRED_000227-T1	0.55	0.62	0.765	0.49	0.246	0.29	1.18	0.878
GTX0536PRED_000227-T2	0.115	0	0	0.147	0	0	0	0
GTX0536PRED_000228-T1	1.668	1.745	2.474	1.51	1.48	1.382	1.652	1.825
GTX0536PRED_000229-T1	0	0	0	0	0	0	0	0.346
GTX0536PRED_000230-T1	3.931	3.7	4.036	2.425	3.403	4.461	2.603	3.702
GTX0536PRED_000231-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000232-T1	6.631	14.753	16.408	4.133	16.242	17.632	15.912	11.956
GTX0536PRED_000233-T1	2.151	1.465	2.144	1.795	0.507	0.187	3.791	1.424
GTX0536PRED_000234-T1	1.394	1.165	1.741	1.734	1.578	1.591	1.776	1.816
GTX0536PRED_000235-T1	0.065	0.009	0.081	0.008	0.048	0.051	0	0.043
GTX0536PRED_000236-T1	3.395	2.557	2.828	2.978	2.548	3.203	2.733	2.81
GTX0536PRED_000237-T1	105.162	110.286	116.633	116.609	44.935	52.046	116.406	87.658
GTX0536PRED_000238-T1	2.646	3.352	2.913	2.331	0.759	1.322	1.817	1.817
GTX0536PRED_000239-T1	0.307	0.685	0.514	0.442	0	0	0.326	0.522
GTX0536PRED_000240-T1	0.049	0.054	0	0.092	0.31	0.275	0.035	0
GTX0536PRED_000241-T1	69.148	60.008	66.051	21.524	0.632	0	49.53	54.996
GTX0536PRED_000242-T1	0.546	2.609	1.5	1.478	0	0	1.219	1.991
GTX0536PRED_000243-T1	0.482	1.299	0.764	1.139	1.786	2.212	0.802	1.501
GTX0536PRED_000244-T1	0	0	0.043	0.09	0.038	0.02	0	0
GTX0536PRED_000245-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000246-T1	0	0.107	0.012	0	0.076	0.147	0.023	0.057
GTX0536PRED_000247-T1	0	0	0	0	0.928	0.854	0.187	0.467
GTX0536PRED_000248-T1	0.839	0.85	0.855	0.722	0.064	0.09	0.306	0.574
GTX0536PRED_000249-T1	0.923	0.651	0.628	0.668	0.895	0.93	0.687	0.85
GTX0536PRED_000250-T1	0.009	0.006	0.008	0.002	0	0	0.003	0.004
GTX0536PRED_000250-T2	1.417	0.954	0.819	0.329	0	0	0.252	0.368
GTX0536PRED_000251-T1	0.177	0.291	0.279	0.059	0.088	0.198	0.176	0.439
GTX0536PRED_000252-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000252-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000253-T1	0.044	0.13	0.049	0.014	0	0	0.032	0
GTX0536PRED_000254-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000255-T1	12.273	12.334	12.715	9.432	5.827	9.035	8.368	9.941
GTX0536PRED_000256-T1	9.953	10.102	9.511	9.272	6.369	6.953	9.71	5.888
GTX0536PRED_000257-T1	4.838	4.406	7.778	6.043	0.91	1.04	5.61	2.607
GTX0536PRED_000258-T1	5.353	3.477	4.391	3.842	3.025	2.384	4.492	3.235
GTX0536PRED_000259-T1	8.646	9.291	9.039	7.553	3.672	4.803	6.673	7.684
GTX0536PRED_000260-T1	0.252	0.404	0.329	0.215	0	0	0.345	0.41
GTX0536PRED_000261-T1	0.653	0.506	0.407	0.433	0.275	0.405	0.406	0.574
GTX0536PRED_000262-T1	0.043	0.04	0.04	0	0	0	0	0
GTX0536PRED_000262-T2	0.022	0	0	0	0.015	0	0.008	0.015
GTX0536PRED_000263-T1	1.267	1.64	1.452	2.002	0.749	0.57	1.292	1.606
GTX0536PRED_000264-T1	18.822	17.921	25.333	24.433	3.061	3.714	8.013	5.719
GTX0536PRED_000265-T1	33.586	31.413	34.824	27.082	18.35	25.677	20.4	15.137
GTX0536PRED_000266-T1	2.049	2.749	2.325	2.895	2.121	3.095	2.368	2.614
GTX0536PRED_000267-T1	3.366	4.118	3.999	3.351	0.58	1.346	2.933	2.225
GTX0536PRED_000267-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000267-T3	0	0	0	0	0	0	0	0
GTX0536PRED_000268-T1	0	0.024	0	0	0	0	0	3.568
GTX0536PRED_000269-T1	5.165	6.03	6.063	3.033	1.15	1.37	5.284	5.918
GTX0536PRED_000270-T1	1.602	1.542	1.656	0.976	0.974	1.275	1.268	2.655
GTX0536PRED_000271-T1	1.406	1.823	2.232	1.86	0	0	1.365	1.217
GTX0536PRED_000272-T1	0	0.028	0.025	0.021	0.068	0.12	0	0
GTX0536PRED_000273-T1	6.807	6.919	9.256	8.486	0.897	1.269	6.811	5.073
GTX0536PRED_000274-T1	1.364	1.426	1.524	1.106	1.255	2.024	0.995	1.33
GTX0536PRED_000275-T1	1.646	0	2.592	2.498	1.146	1.198	3.871	3.145
GTX0536PRED_000276-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000276-T2	0	0	0	0	0.062	0.217	0	0.022
GTX0536PRED_000277-T1	8.601	12.335	10.695	14.331	3.048	2.422	11.145	6.628
GTX0536PRED_000278-T1	1.565	1.1	1.963	1.328	1.955	1.986	1.269	1.382
GTX0536PRED_000279-T1	9.112	7.025	11.027	4.597	3.775	3.885	2.542	4.807
GTX0536PRED_000280-T1	12.48	13.569	13.355	9.186	2.588	1.871	9.897	7.642
GTX0536PRED_000281-T1	6.155	7.279	6.069	5.269	2.103	2.198	2.756	3.432
GTX0536PRED_000282-T1	0.823	1.145	0.523	0.683	0	0	0.835	0.902
GTX0536PRED_000283-T1	0.925	0.927	1.261	0.754	0.554	0.413	0.862	1.09
GTX0536PRED_000284-T1	54.181	30.89	55.055	20.556	10.36	9.935	45.877	23.863
